pharmacy_email,pharmacy_name,address,lat,lon
apollohyd@gmail.com,Apollo Pharmacy,Dilsukhnagar,17.366,78.524
medplushyd@gmail.com,MedPlus Pharmacy,Ameerpet,17.438,78.448
netmedshyd@gmail.com,NetMeds Pharmacy,Miyapur,17.497,78.355
medzonehyd@gmail.com,MedZone Pharmacy,Malkajgiri,17.457,78.537
urbanmedhyd@gmail.com,UrbanMed Pharmacy,Kukatpally,17.487,78.392
citycarehyd@gmail.com,CityCare Pharmacy,Begumpet,17.443,78.476
myhealthhyd@gmail.com,MyHealth Pharmacy,Secunderabad,17.450,78.508
greenmedhyd@gmail.com,GreenMed Pharmacy,Chandanagar,17.495,78.321
smartmedhyd@gmail.com,SmartMed Store,Tarnaka,17.437,78.541
trusthyd@gmail.com,Trust Pharmacy,Uppal,17.398,78.558
hpharmahyd@gmail.com,HP Pharma,Banjara Hills,17.420,78.437
healcurehyd@gmail.com,HealCure Store,Himayatnagar,17.410,78.485
carehyd@gmail.com,Care Pharmacy,LB Nagar,17.347,78.557
localshop1@gmail.com,Local Medical Store 1,Malakpet,17.375,78.515
localshop2@gmail.com,Corner Pharmacy,Abids,17.385,78.478
localshop3@gmail.com,Neighborhood Meds,Charminar,17.361,78.474
localshop4@gmail.com,Quick Med Store,Panjagutta,17.425,78.449
localshop5@gmail.com,City Corner Pharmacy,Kondapur,17.484,78.390
localshop6@gmail.com,Local Pharmacy Shop,Madhapur,17.448,78.391
localshop7@gmail.com,Small Med Store,Gachibowli,17.422,78.349
localshop8@gmail.com,Corner Medical Shop,Manikonda,17.400,78.335
localshop9@gmail.com,Neighborhood Pharmacy,Attapur,17.380,78.430
localshop10@gmail.com,Local Health Store,Mehdipatnam,17.395,78.450
